VAT_GapLandC_BRSP.OBJECTID *,VAT_GapLandC_BRSP.Value,VAT_GapLandC_BRSP.Count,Value,Count,RED,GREEN,BLUE,CL,NVC_CLASS,SC,NVC_SUBCL,FRM,NVC_FORM,DIV,NVC_DIV,MACRO_CD,NVC_MACRO,GR,NVC_GROUP,LEVEL3,ECOLSYS_LU,NVCMES
66,180,31295,180,31185,0.3098,0.52157,0.47059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M025,Vancouverian Subalpine Forest,G749,Sierra-Cascade Red Fir - Mountain Hemlock Forest,9307,Northern Pacific Mesic Subalpine Woodland,1.B.2.NdM025G749E180
67,181,3998348,181,4005433,0.3098,0.52157,0.47059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M025,Vancouverian Subalpine Forest,G243,Sierra-Cascade Cold-Dry Subalpine Woodland,4533,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,1.B.2.NdM025G243E181
68,182,16828459,182,17050154,0.4,0.4902,0.08627,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nc,Western North American Cool Temperate Woodland & Scrub,M026,Intermountain Singleleaf Pinyon - Utah Juniper - Western Juniper Woodland,G248,Columbia Plateau Western Juniper Open Woodland,4513,Columbia Plateau Western Juniper Woodland and Savanna,1.B.2.NcM026G248E182
69,183,68683546,183,71643541,0.4,0.4902,0.08627,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nc,Western North American Cool Temperate Woodland & Scrub,M026,Intermountain Singleleaf Pinyon - Utah Juniper - Western Juniper Woodland,G247,Great Basin Pinyon - Juniper Woodland,4514,Great Basin Pinyon-Juniper Woodland,1.B.2.NcM026G247E183
70,184,6893614,184,6902446,0.4,0.4902,0.08627,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nc,Western North American Cool Temperate Woodland & Scrub,M026,Intermountain Singleleaf Pinyon - Utah Juniper - Western Juniper Woodland,G249,Intermountain Basins Curl-leaf Mountain-mahogany Scrub & Woodland,4147,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,1.B.2.NcM026G249E184
71,185,6826915,185,8699525,0.4,0.4902,0.08627,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nc,Western North American Cool Temperate Woodland & Scrub,M026,Intermountain Singleleaf Pinyon - Utah Juniper - Western Juniper Woodland,G246,Colorado Plateau-Great Basin Juniper Open Woodland,5603,Inter-Mountain Basins Juniper Savanna,1.B.2.NcM026G246E185
72,186,12502211,186,12620708,0.34902,0.4902,0.08627,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nc,Western North American Cool Temperate Woodland & Scrub,M027,Southern Rocky Mountain & Colorado Plateau Two-needle Pinyon - One-seed Juniper Woodland,G250,Colorado Plateau Pinyon - Juniper Woodland,5601,Colorado Plateau Pinyon-Juniper Shrubland,1.B.2.NcM027G250E186
73,187,88163612,187,107223349,0.34902,0.4902,0.08627,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nc,Western North American Cool Temperate Woodland & Scrub,M027,Southern Rocky Mountain & Colorado Plateau Two-needle Pinyon - One-seed Juniper Woodland,G250,Colorado Plateau Pinyon - Juniper Woodland,4512,Colorado Plateau Pinyon-Juniper Woodland,1.B.2.NcM027G250E187
74,188,1893936,188,13232445,0.34902,0.4902,0.08627,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nc,Western North American Cool Temperate Woodland & Scrub,M027,Southern Rocky Mountain & Colorado Plateau Two-needle Pinyon - One-seed Juniper Woodland,G252,Southern Rocky Mountain Juniper Open Woodland,5606,Southern Rocky Mountain Juniper Woodland and Savanna,1.B.2.NcM027G252E188
75,189,9095059,189,17087759,0.34902,0.4902,0.08627,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nc,Western North American Cool Temperate Woodland & Scrub,M027,Southern Rocky Mountain & Colorado Plateau Two-needle Pinyon - One-seed Juniper Woodland,G253,Southern Rocky Mountain Pinyon - Juniper Woodland,4534,Southern Rocky Mountain Pinyon-Juniper Woodland,1.B.2.NcM027G253E189
76,190,1317253,190,1317270,0,0.38039,0.45098,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Na,Eastern North American-Great Plains Flooded & Swamp Forest,M028,Great Plains Floodplain Forest,G147,Great Plains Cottonwood - Green Ash Floodplain Forest,9826,Northwestern Great Plains Floodplain,1.B.3.NaM028G147E190
77,191,5114975,191,5115055,0,0.38039,0.45098,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Na,Eastern North American-Great Plains Flooded & Swamp Forest,M028,Great Plains Floodplain Forest,G147,Great Plains Cottonwood - Green Ash Floodplain Forest,9847,Northwestern Great Plains Riparian,1.B.3.NaM028G147E191
78,192,939294,192,1006005,0,0.38039,0.45098,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Na,Eastern North American-Great Plains Flooded & Swamp Forest,M028,Great Plains Floodplain Forest,G147,Great Plains Cottonwood - Green Ash Floodplain Forest,9823,Western Great Plains Floodplain,1.B.3.NaM028G147E192
79,193,1347865,193,15568356,0,0.38039,0.45098,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Na,Eastern North American-Great Plains Flooded & Swamp Forest,M028,Great Plains Floodplain Forest,G147,Great Plains Cottonwood - Green Ash Floodplain Forest,9814,Western Great Plains Floodplain Systems,1.B.3.NaM028G147E193
80,194,3326204,194,4041798,0,0.38039,0.45098,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Na,Eastern North American-Great Plains Flooded & Swamp Forest,M028,Great Plains Floodplain Forest,G147,Great Plains Cottonwood - Green Ash Floodplain Forest,9848,Western Great Plains Riparian Woodland and Shrubland,1.B.3.NaM028G147E194
81,260,131,260,7181466,0,0.61176,0.47843,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.1,Warm Temperate Forest & Woodland,1.B.1.Na,Southeastern North American Warm Temperate Forest & Woodland,M007,Longleaf Pine Woodland,G596,Mesic Longleaf Pine Flatwoods - Spodosol Woodland,9903,East Gulf Coastal Plain Near-Coast Pine Flatwoods - Open Understory Modifier,1.B.1.NaM007G596E260
82,265,1554787,265,1565784,0.02745,0.52549,0.50588,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Nc,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,M034,Rocky Mountain-Great Basin Montane Riparian Forest,G506,Rocky Mountain-Great Basin Montane Riparian Forest,9831,Columbia Basin Foothill Riparian Woodland and Shrubland,1.B.3.NcM034G506E265
83,266,2241461,266,2398427,0.02745,0.52549,0.50588,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nb,"Western North American Freshwater-Marsh, Wet Meadow & Shrubland",M075,"Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland",G526,Rocky Mountain & Great Basin Lowland & Foothill Riparian Shrubland,9830,Great Basin Foothill and Lower Montane Riparian Woodland and Shrubland,2.C.4.NbM075G526E266
84,268,25420,268,64220,0.02745,0.52549,0.50588,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Nc,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,M034,Rocky Mountain-Great Basin Montane Riparian Forest,G505,Rocky Mountain-Great Basin Swamp Forest,9304,Northern Rocky Mountain Conifer Swamp,1.B.3.NcM034G505E268
85,269,4349951,269,4350066,0.02745,0.52549,0.50588,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nb,"Western North American Freshwater-Marsh, Wet Meadow & Shrubland",M075,"Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland",G526,Rocky Mountain & Great Basin Lowland & Foothill Riparian Shrubland,9824,Northern Rocky Mountain Lower Montane Riparian Woodland and Shrubland,2.C.4.NbM075G526E269
86,270,5731598,270,6125598,0.02745,0.52549,0.50588,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Nc,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,M034,Rocky Mountain-Great Basin Montane Riparian Forest,G506,Rocky Mountain-Great Basin Montane Riparian Forest,9825,Rocky Mountain Lower Montane Riparian Woodland and Shrubland,1.B.3.NcM034G506E270
87,271,19962,271,591045,0.02745,0.52549,0.50588,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Nc,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,M034,Rocky Mountain-Great Basin Montane Riparian Forest,G506,Rocky Mountain-Great Basin Montane Riparian Forest,9813,Rocky Mountain Montane Riparian Systems,1.B.3.NcM034G506E271
88,272,1141146,272,1157278,0.02745,0.52549,0.50588,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Nc,Rocky Mountain-Great Basin Montane Flooded & Swamp Forest,M034,Rocky Mountain-Great Basin Montane Riparian Forest,G506,Rocky Mountain-Great Basin Montane Riparian Forest,9832,Rocky Mountain Subalpine-Montane Riparian Woodland,1.B.3.NcM034G506E272
89,273,39110,273,339910,0.02745,0.52549,0.63137,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Ng,Vancouverian Flooded & Swamp Forest,M035,Vancouverian Flooded & Swamp Forest,G256,North Pacific Maritime Hardwood - Conifer Swamp,9306,North Pacific Hardwood-Conifer Swamp,1.B.3.NgM035G256E273
90,274,851683,274,4855589,0.02745,0.52549,0.63137,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nb,"Western North American Freshwater-Marsh, Wet Meadow & Shrubland",M073,"Vancouverian Lowland Marsh, Wet Meadow & Shrubland",G322,Vancouverian Wet Shrubland,9811,North Pacific Lowland Riparian Forest and Shrubland,2.C.4.NbM073G322E274
91,275,682540,275,800761,0.02745,0.52549,0.63137,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nb,"Western North American Freshwater-Marsh, Wet Meadow & Shrubland",M073,"Vancouverian Lowland Marsh, Wet Meadow & Shrubland",G322,Vancouverian Wet Shrubland,9812,North Pacific Montane Riparian Woodland and Shrubland,2.C.4.NbM073G322E275
92,276,109324,276,517628,0.02745,0.52549,0.63137,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Ng,Vancouverian Flooded & Swamp Forest,M035,Vancouverian Flooded & Swamp Forest,G256,North Pacific Maritime Hardwood - Conifer Swamp,9216,North Pacific Shrub Swamp,1.B.3.NgM035G256E276
93,277,175413,277,526092,0.2,0.57647,0.63922,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Nd,Western North American Interior Flooded Forest,M036,Interior Warm & Cool Desert Riparian Forest,G797,Western Interior Riparian Forest & Woodland,9809,California Central Valley Riparian Woodland and Shrubland,1.B.3.NdM036G797E277
94,278,3871042,278,5529510,0.2,0.57647,0.63922,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Nd,Western North American Interior Flooded Forest,M036,Interior Warm & Cool Desert Riparian Forest,G797,Western Interior Riparian Forest & Woodland,9849,Mediterranean California Foothill and Lower Montane Riparian Woodland,1.B.3.NdM036G797E278
95,279,651,279,17524,0.2,0.57647,0.63922,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Nd,Western North American Interior Flooded Forest,M036,Interior Warm & Cool Desert Riparian Forest,G797,Western Interior Riparian Forest & Woodland,9846,Mediterranean California Serpentine Foothill and Lower Montane Riparian Woodland and Seep,1.B.3.NdM036G797E279
96,280,88174,280,464420,0.2,0.57647,0.63922,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Nd,Western North American Interior Flooded Forest,M036,Interior Warm & Cool Desert Riparian Forest,G797,Western Interior Riparian Forest & Woodland,9833,North American Warm Desert Lower Montane Riparian Woodland and Shrubland,1.B.3.NdM036G797E280
97,281,11,281,1416988,0.2,0.57647,0.63922,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.3,Temperate Flooded & Swamp Forest,1.B.3.Nd,Western North American Interior Flooded Forest,M036,Interior Warm & Cool Desert Riparian Forest,G797,Western Interior Riparian Forest & Woodland,9856,North American Warm Desert Riparian Systems,1.B.3.NdM036G797E281
98,282,270066,282,1011024,0.2,0.57647,0.63922,2,Shrub & Herb Vegetation,2.C,Shrub & Herb Wetland,2.C.4,"Temperate to Polar Freshwater Marsh, Wet Meadow & Shrubland",2.C.4.Nc,Southwestern North American Warm Desert Freshwater Marsh & Bosque,M076,"Warm Desert Lowland Freshwater Marsh, Wet Meadow & Shrubland",G533,North American Warm Desert Riparian Low Bosque & Shrubland,9835,North American Warm Desert Riparian Woodland and Shrubland,2.C.4.NcM076G533E282
99,296,8984,296,16866,0.94902,0.46275,0.07059,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.1,Mediterranean Scrub & Grassland,2.B.1.Na,Californian Scrub,M043,Californian Chaparral,G258,Californian Maritime Chaparral,5401,California Maritime Chaparral,2.B.1.NaM043G258E296
100,297,499247,297,1014827,0.94902,0.46275,0.07059,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.1,Mediterranean Scrub & Grassland,2.B.1.Na,Californian Scrub,M043,Californian Chaparral,G261,Californian Mesic & Pre-montane Chaparral,5402,California Mesic Chaparral,2.B.1.NaM043G261E297
101,298,10384,298,416269,0.94902,0.46275,0.07059,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.1,Mediterranean Scrub & Grassland,2.B.1.Na,Californian Scrub,M043,Californian Chaparral,G257,Californian Xeric Chaparral,5404,California Xeric Serpentine Chaparral,2.B.1.NaM043G257E298
102,299,1572,299,245450,0.94902,0.46275,0.07059,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.1,Mediterranean Scrub & Grassland,2.B.1.Na,Californian Scrub,M043,Californian Chaparral,G257,Californian Xeric Chaparral,5516,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,2.B.1.NaM043G257E299
103,300,1492519,300,6574742,0.94902,0.46275,0.07059,1,Forest & Woodland,1.B,Temperate & Boreal Forest & Woodland,1.B.2,Cool Temperate Forest & Woodland,1.B.2.Nd,Vancouverian Cool Temperate Forest & Woodland,M023,Southern Vancouverian Montane-Foothill Forest,G344,California Montane Conifer Forest & Woodland,4404,Mediterranean California Mesic Serpentine Woodland and Chaparral,1.B.2.NdM023G344E300
104,301,1063408,301,5466431,0.94902,0.46275,0.07059,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.1,Mediterranean Scrub & Grassland,2.B.1.Na,Californian Scrub,M043,Californian Chaparral,G257,Californian Xeric Chaparral,5408,Northern and Central California Dry-Mesic Chaparral,2.B.1.NaM043G257E301
105,302,4484585,302,9603359,0.94902,0.46275,0.07059,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.1,Mediterranean Scrub & Grassland,2.B.1.Na,Californian Scrub,M043,Californian Chaparral,G257,Californian Xeric Chaparral,5410,Southern California Dry-Mesic Chaparral,2.B.1.NaM043G257E302
106,303,3968221,303,9295471,0.78431,0.46275,0.07059,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.1,Mediterranean Scrub & Grassland,2.B.1.Na,Californian Scrub,M044,Californian Coastal Scrub,G264,Central & Southern Californian Coastal Sage Scrub,5210,Southern California Coastal Scrub,2.B.1.NaM044G264E303
107,304,11319198,304,38765299,0.92941,0.84314,0.55294,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.1,Mediterranean Scrub & Grassland,2.B.1.Nb,Californian Grassland & Meadow,M045,Californian Annual & Perennial Grassland,G496,Californian Native Perennial Grassland,7501,California Central Valley and Southern Coastal Grassland,2.B.1.NbM045G496E304
108,305,57866,305,78349,0.92941,0.84314,0.55294,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.1,Mediterranean Scrub & Grassland,2.B.1.Nb,Californian Grassland & Meadow,M045,Californian Annual & Perennial Grassland,G496,Californian Native Perennial Grassland,7401,California Mesic Serpentine Grassland,2.B.1.NbM045G496E305
109,306,14319190,306,14319524,0.96078,0.7451,0.38824,3,Desert & Semi-Desert,3.B,Cool Semi-Desert Scrub & Grassland,3.B.1,Cool Semi-Desert Scrub & Grassland,3.B.1.Ne,Western North American Cool Semi-Desert Scrub & Grassland,M171,Great Basin-Intermountain Dry Shrubland & Grassland,G311,Intermountain Semi-Desert Grassland,7304,Columbia Basin Foothill and Canyon Dry Grassland,3.B.1.NeM171G311E306
110,307,1279259,307,1279261,0.96078,0.7451,0.38824,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Na,Western North American Grassland & Shrubland,M048,Central Rocky Mountain Montane-Foothill Grassland & Shrubland,G273,"Central Rocky Mountain Lower Montane, Foothill & Valley Grassland",7307,Columbia Basin Palouse Prairie,2.B.2.NaM048G273E307
111,308,511618,308,629979,0.96078,0.7451,0.38824,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Na,Western North American Grassland & Shrubland,M168,Rocky Mountain-Vancouverian Subalpine-High Montane Mesic Meadow,G271,Rocky Mountain Subalpine-Montane Mesic Grassland & Meadow,7104,North Pacific Alpine and Subalpine Dry Grassland,2.B.2.NaM168G271E308
112,309,97990,309,369963,0.96078,0.7451,0.38824,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Na,Western North American Grassland & Shrubland,M168,Rocky Mountain-Vancouverian Subalpine-High Montane Mesic Meadow,G271,Rocky Mountain Subalpine-Montane Mesic Grassland & Meadow,7202,North Pacific Montane Grassland,2.B.2.NaM168G271E309
113,310,289073,310,385412,0.96078,0.7451,0.38824,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Na,Western North American Grassland & Shrubland,M048,Central Rocky Mountain Montane-Foothill Grassland & Shrubland,G272,Central Rocky Mountain Montane-Foothill Deciduous Shrubland,5804,North Pacific Montane Shrubland,2.B.2.NaM048G272E310
114,311,30357309,311,30403968,0.96078,0.7451,0.38824,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Na,Western North American Grassland & Shrubland,M048,Central Rocky Mountain Montane-Foothill Grassland & Shrubland,G273,"Central Rocky Mountain Lower Montane, Foothill & Valley Grassland",7203,"Northern Rocky Mountain Lower Montane, Foothill and Valley Grassland",2.B.2.NaM048G273E311
115,312,8291512,312,8293429,0.96078,0.7451,0.38824,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Na,Western North American Grassland & Shrubland,M048,Central Rocky Mountain Montane-Foothill Grassland & Shrubland,G272,Central Rocky Mountain Montane-Foothill Deciduous Shrubland,5808,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,2.B.2.NaM048G272E312
116,313,3234924,313,3235255,0.96078,0.7451,0.38824,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Na,Western North American Grassland & Shrubland,M048,Central Rocky Mountain Montane-Foothill Grassland & Shrubland,G305,Central Rocky Mountain High Montane Mesic Shrubland,5812,Northern Rocky Mountain Subalpine Deciduous Shrubland,2.B.2.NaM048G305E313
117,314,8131025,314,8131293,0.96078,0.7451,0.38824,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Na,Western North American Grassland & Shrubland,M048,Central Rocky Mountain Montane-Foothill Grassland & Shrubland,G267,Central Rocky Mountain Montane Grassland,7204,Northern Rocky Mountain Subalpine-Upper Montane Grassland,2.B.2.NaM048G267E314
118,315,11835665,315,13064758,0.96078,0.7451,0.38824,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Na,Western North American Grassland & Shrubland,M168,Rocky Mountain-Vancouverian Subalpine-High Montane Mesic Meadow,G268,Southern Rocky Mountain Montane-Subalpine Grassland,7206,Southern Rocky Mountain Montane-Subalpine Grassland,2.B.2.NaM168G268E315
119,316,20551692,316,23647504,0.96471,0.74902,0.38824,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Na,Western North American Grassland & Shrubland,M049,Southern Rocky Mountain Montane Shrubland,G277,Southern Rocky Mountain Gambel Oak - Mixed Montane Shrubland,5809,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,2.B.2.NaM049G277E316
120,317,3046101,317,3417151,0.96471,0.74902,0.38824,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Na,Western North American Grassland & Shrubland,M049,Southern Rocky Mountain Montane Shrubland,G276,Southern Rocky Mountain Mountain-mahogany - Mixed Foothill Shrubland,5806,Rocky Mountain Lower Montane-Foothill Shrubland,2.B.2.NaM049G276E317
121,318,759,318,3783398,0.96471,0.74902,0.58824,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Na,Western North American Grassland & Shrubland,M050,Southern Vancouverian Lowland Grassland & Shrubland,G488,"Southern Vancouverian Shrub & Herbaceous Bald, Bluff & Prairie",7502,California Northern Coastal Grassland,2.B.2.NaM050G488E318
122,319,75440,319,421115,0.96471,0.74902,0.58824,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Na,Western North American Grassland & Shrubland,M050,Southern Vancouverian Lowland Grassland & Shrubland,G488,"Southern Vancouverian Shrub & Herbaceous Bald, Bluff & Prairie",7604,North Pacific Herbaceous Bald and Bluff,2.B.2.NaM050G488E319
123,321,107666,321,1233703,0.96471,0.74902,0.58824,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Na,Western North American Grassland & Shrubland,M050,Southern Vancouverian Lowland Grassland & Shrubland,G488,"Southern Vancouverian Shrub & Herbaceous Bald, Bluff & Prairie",5505,Willamette Valley Upland Prairie and Savanna,2.B.2.NaM050G488E321
124,322,22627,322,32484,0.96471,0.7451,0.38824,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Na,Western North American Grassland & Shrubland,M168,Rocky Mountain-Vancouverian Subalpine-High Montane Mesic Meadow,G271,Rocky Mountain Subalpine-Montane Mesic Grassland & Meadow,7201,Mediterranean California Subalpine Meadow,2.B.2.NaM168G271E322
125,323,11198610,323,11231093,0.96471,0.7451,0.38824,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Na,Western North American Grassland & Shrubland,M168,Rocky Mountain-Vancouverian Subalpine-High Montane Mesic Meadow,G271,Rocky Mountain Subalpine-Montane Mesic Grassland & Meadow,7205,Rocky Mountain Subalpine-Montane Mesic Meadow,2.B.2.NaM168G271E323
126,324,822141,324,79889637,0.76078,0.61176,0.39216,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Nb,Central Norrth American Grassland & Shrubland,M051,Great Plains Mixedgrass & Fescue Prairie,G133,Central Great Plains Mixedgrass Prairie,7302,Central Mixedgrass Prairie,2.B.2.NbM051G133E324
127,325,144869873,325,221438401,0.76078,0.61176,0.39216,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Nb,Central Norrth American Grassland & Shrubland,M051,Great Plains Mixedgrass & Fescue Prairie,G141,Northern Great Plains Mixedgrass Prairie,7306,Northwestern Great Plains Mixedgrass Prairie,2.B.2.NbM051G141E325
128,326,3881975,326,5018908,0.76078,0.61176,0.39216,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Nb,Central Norrth American Grassland & Shrubland,M051,Great Plains Mixedgrass & Fescue Prairie,G141,Northern Great Plains Mixedgrass Prairie,7308,Western Great Plains Foothill and Piedmont Grassland,2.B.2.NbM051G141E326
129,327,292504,327,4724021,0.76078,0.61176,0.39216,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Nb,Central Norrth American Grassland & Shrubland,M051,Great Plains Mixedgrass & Fescue Prairie,G141,Northern Great Plains Mixedgrass Prairie,7311,Western Great Plains Tallgrass Prairie,2.B.2.NbM051G141E327
130,328,21602777,328,88940545,0.76078,0.5098,0.21176,2,Shrub & Herb Vegetation,2.B,Temperate & Boreal Grassland & Shrubland,2.B.2,Temperate Grassland & Shrubland,2.B.2.Nb,Central North American Grassland & Shrubland,M052,Great Plains Sand Grassland & Shrubland,G068,Great Plains Sand Grassland,7309,Western Great Plains Sand Prairie,2.B.2.NbM052G068E328
